,Company Name,Symbol,Exchange,Currency,Country,Sector,Industry,Website,Full-Time Employees,Insider Ownership (%),Institutional Ownership (%),Market Cap ($B),Enterprise Value ($B),Shares Outstanding (B),Float Shares (B),Book Value/Share ($),EV/EBITDA,EV/Revenue,Current Price ($),Open ($),Previous Close ($),Day High ($),Day Low ($),52-Week High ($),52-Week Low ($),50-Day MA ($),200-Day MA ($),Volume,Avg Volume,EPS (TTM),EPS (Forward),PE Ratio (Trailing),PE Ratio (Forward),PEG Ratio,Profit Margin (%),Operating Margin (%),ROA (%),ROE (%),Operating CF ($B),Free CF ($B),CapEx ($B),Total Debt ($B),Debt to Equity,Quick Ratio,Current Ratio,Dividend Rate ($),Dividend Yield (%),Payout Ratio,Ex-Dividend Date,Revenue Growth YoY,Earnings Growth YoY,Earnings Date,Last Split Date,Last Split Factor
630,H.B. Fuller Company,FUL,NYQ,USD,United States,Basic Materials,Specialty Chemicals,https://www.hbfuller.com,7500,0.28,102.04,3.33,5.35,0.054,0.054,34.75,9.87,1.52,61.73,62.04,61.99,62.94,60.8,87.67,47.56,55.44,64.59,1519860,457829,1.84,4.65,33.55,13.28,N/A,2.92%,12.02%,4.54%,5.63%,0.23,0.22,N/A,2.12,112.81,0.98,1.87,0.94,152.0,49.05%,1745884800,-2.1%,-16.5%,N/A,1154908800,2:1
631,Gen Digital Inc.,GEN,NMS,USD,United States,Technology,Software - Infrastructure,https://www.gendigital.com,3500,9.49,101.41,18.16,25.47,0.62,0.526,3.68,13.56,6.47,29.28,29.45,29.45,29.56,28.95,31.72,22.74,27.82,27.75,6524909,4842138,1.03,2.45,28.43,11.95,N/A,16.34%,44.26%,6.74%,29.17%,1.22,1.31,N/A,8.31,366.46,0.45,0.51,0.5,171.0,48.54%,1747612800,4.8%,10.6%,N/A,1101859200,2:1
632,Globant S.A.,GLOB,NYQ,USD,Luxembourg,Technology,Information Technology Services,https://www.globant.com,31102,2.2,100.38,4.01,4.37,0.044,0.04,46.55,11.49,1.78,91.13,92.12,91.52,93.08,90.06,238.32,86.02,106.96,170.95,1747590,1216824,3.38,7.41,26.96,12.3,N/A,6.16%,9.23%,5.35%,7.91%,0.25,0.22,N/A,0.4,18.95,1.55,1.56,N/A,N/A,N/A,N/A,7.0%,-33.3%,N/A,N/A,N/A
633,Corning Incorporated,GLW,NYQ,USD,United States,Technology,Electronic Components,https://www.corning.com,56300,8.61,74.07,44.38,51.59,0.856,0.782,13.23,17.71,3.79,51.82,51.71,51.7,52.27,51.52,55.33,37.18,47.77,47.5,5278003,5617638,0.52,2.31,99.65,22.43,N/A,3.34%,13.06%,3.59%,4.87%,1.99,1.18,N/A,8.15,73.27,0.75,1.69,1.12,216.0,215.38%,1756425600,16.0%,-25.0%,N/A,970617600,3:1
634,Generac Holdings Inc.,GNRC,NYQ,USD,United States,Industrials,Specialty Industrial Machinery,https://www.generac.com,5389,1.72,90.89,8.41,9.65,0.059,0.058,41.79,13.23,2.22,142.41,143.15,142.31,143.41,140.75,195.94,99.5,123.33,146.37,1905022,923566,5.72,8.21,24.9,17.35,N/A,7.68%,8.88%,6.79%,13.8%,0.69,0.49,N/A,1.42,57.43,0.77,1.97,N/A,N/A,N/A,1370822400,5.9%,87.2%,N/A,N/A,N/A
635,Genuine Parts Company,GPC,NYQ,USD,United States,Consumer Cyclical,Auto Parts,https://www.genpt.com,63000,0.34,88.14,16.72,22.42,0.139,0.138,32.06,11.7,0.95,120.48,119.66,119.06,120.62,119.25,149.22,104.01,121.51,123.07,987679,1327756,6.08,8.47,19.82,14.22,N/A,3.6%,6.11%,4.86%,19.13%,0.89,-0.0,N/A,6.1,136.68,0.44,1.15,4.12,342.0,66.17%,1749168000,1.4%,-21.3%,N/A,861062400,3:2
636,Global Payments Inc.,GPN,NYQ,USD,United States,Industrials,Specialty Business Services,https://www.globalpayments.com/en-ap,27000,0.95,94.51,19.2,34.02,0.244,0.242,90.68,7.69,3.37,78.72,79.01,78.24,79.82,77.93,120.0,65.93,77.19,98.57,2872775,3760074,6.18,12.8,12.74,6.15,N/A,15.48%,23.28%,3.23%,7.1%,3.56,3.78,N/A,16.94,73.57,0.56,0.94,1.0,127.0,16.18%,1749772800,-0.3%,1.6%,N/A,1446508800,2:1
637,Garmin Ltd.,GRMN,NYQ,USD,Switzerland,Technology,Scientific & Technical Instruments,https://www.garmin.com,21800,15.43,57.39,40.12,37.62,0.193,0.182,42.44,20.79,5.83,208.36,205.0,205.15,209.47,204.44,246.5,158.9,199.69,201.19,1102811,983319,7.58,7.46,27.49,27.93,N/A,22.76%,21.68%,11.05%,19.04%,1.42,0.9,N/A,0.18,2.18,2.62,4.09,3.6,173.0,39.53%,1757635200,11.1%,20.3%,N/A,1155686400,2:1
638,Halliburton Company,HAL,NYQ,USD,United States,Energy,Oil & Gas Equipment & Services,https://www.halliburton.com,48000,0.5,85.96,17.68,24.5,0.86,0.854,12.04,5.18,1.09,20.57,20.74,20.64,20.82,20.38,37.08,18.72,20.82,25.8,8653227,15408980,2.39,3.25,8.61,6.33,N/A,9.3%,12.83%,9.12%,21.0%,3.76,1.77,N/A,8.57,82.37,1.2,1.98,0.68,331.0,28.45%,1748995200,-6.7%,-65.4%,N/A,1153094400,2:1
639,"Hayward Holdings, Inc.",HAYW,NYQ,USD,United States,Industrials,Electrical Equipment & Parts,https://hayward.com,1934,2.19,98.19,2.99,3.83,0.216,0.211,6.66,13.83,3.59,13.81,13.85,13.77,14.0,13.63,16.87,11.1,13.71,14.56,5122171,1930235,0.56,0.76,24.66,18.17,N/A,11.53%,15.48%,4.64%,8.92%,0.28,0.24,N/A,1.03,71.31,1.62,2.63,N/A,N/A,N/A,N/A,7.7%,50.0%,N/A,N/A,N/A
640,"Hawaiian Electric Industries, Inc.",HE,NYQ,USD,United States,Utilities,Utilities - Regulated Electric,https://www.hei.com,2587,0.17,78.48,1.84,4.43,0.172,0.159,8.73,8.6,1.4,10.65,10.51,10.53,10.79,10.49,18.19,7.61,10.51,10.27,1866685,1854780,-10.46,1.4,N/A,7.61,N/A,-45.45%,8.51%,1.06%,-66.65%,0.41,6.08,N/A,3.19,206.93,0.69,1.25,N/A,N/A,N/A,1692230400,-6.1%,-60.5%,N/A,1087171200,2:1
641,Helen of Troy Limited,HELE,NMS,USD,United States,Consumer Defensive,Household & Personal Products,https://www.helenoftroy.com,1883,0.64,106.69,0.65,1.59,0.023,0.023,73.65,5.92,0.83,28.34,28.04,27.72,28.44,27.57,93.09,24.15,28.48,52.38,541280,730912,5.37,7.9,5.28,3.59,N/A,6.49%,13.41%,4.47%,7.45%,0.11,0.08,N/A,0.96,57.2,0.98,2.0,N/A,N/A,N/A,N/A,-0.7%,24.9%,N/A,874972800,2:1
642,"The Hartford Insurance Group, Inc.",HIG,NYQ,USD,United States,Financial Services,Insurance - Property & Casualty,https://www.thehartford.com,19100,0.33,95.08,35.42,36.62,0.284,0.282,57.91,8.81,1.36,124.68,124.54,124.74,125.74,124.1,132.09,98.16,125.8,118.11,3606119,1632837,10.02,11.61,12.44,10.74,N/A,11.09%,12.22%,3.08%,18.5%,5.8,5.3,N/A,4.37,25.92,1.0,1.79,2.08,167.0,19.74%,1748822400,6.0%,-13.0%,N/A,900547200,2:1
643,"Huntington Ingalls Industries, Inc.",HII,NYQ,USD,United States,Industrials,Aerospace & Defense,https://www.hii.com,44000,0.74,97.13,9.36,12.6,0.039,0.039,121.64,12.6,1.1,238.65,238.32,239.83,239.49,236.66,285.81,158.88,227.82,213.83,319292,609546,13.89,15.68,17.18,15.22,N/A,4.76%,7.17%,3.63%,12.27%,0.2,-0.09,N/A,3.41,71.36,0.95,1.06,5.4,226.0,38.18%,1748563200,-2.5%,-2.1%,N/A,N/A,N/A
644,Hilton Worldwide Holdings Inc.,HLT,NYQ,USD,United States,Consumer Cyclical,Lodging,https://www.hilton.com,181000,2.13,98.85,63.11,74.3,0.238,0.233,-18.33,29.53,15.61,265.5,257.69,257.49,266.19,257.69,275.22,196.04,242.79,242.24,8684440,2386408,6.32,7.99,42.01,33.23,N/A,32.99%,50.05%,9.25%,N/A,2.12,1.67,N/A,11.88,N/A,0.48,0.57,0.6,23.0,9.48%,1747958400,1.2%,18.3%,N/A,1483488000,1000:2052
645,"Hologic, Inc.",HOLX,NMS,USD,United States,Healthcare,Medical Instruments & Supplies,https://www.hologic.com,7063,0.86,102.63,14.49,15.39,0.223,0.221,20.73,12.29,3.82,65.01,65.05,65.11,67.0,64.77,84.67,51.9,59.92,69.22,3075652,3671546,2.38,4.72,27.32,13.77,N/A,13.83%,22.17%,6.92%,11.77%,1.13,0.78,N/A,2.53,54.8,2.29,3.24,N/A,N/A,N/A,N/A,-1.2%,N/A,N/A,1207180800,2:1
646,"Helmerich & Payne, Inc.",HP,NYQ,USD,United States,Energy,Oil & Gas Drilling,https://www.helmerichpayne.com,7000,3.75,102.94,1.53,3.75,0.099,0.095,29.52,4.53,1.22,15.4,15.62,15.53,15.76,15.31,42.6,14.65,17.76,27.53,2023315,2216883,2.2,3.57,7.0,4.31,N/A,7.15%,6.32%,4.19%,7.58%,0.58,-0.03,N/A,2.3,75.26,1.11,1.68,1.0,649.0,60.91%,1755216000,47.7%,-98.8%,N/A,1152489600,2:1
647,"H&R Block, Inc.",HRB,NYQ,USD,United States,Consumer Cyclical,Personal Services,https://www.hrblock.com,4200,1.15,98.16,7.32,8.47,0.134,0.133,-1.44,9.15,2.28,54.7,54.5,54.32,55.43,54.31,68.45,49.16,57.91,57.23,2664794,1528877,4.03,5.14,13.57,10.64,N/A,15.2%,42.96%,15.63%,N/A,0.73,0.53,N/A,1.92,N/A,0.71,0.78,1.5,274.0,35.86%,1748995200,4.2%,9.3%,N/A,1124755200,2:1
648,Hormel Foods Corporation,HRL,NYQ,USD,United States,Consumer Defensive,Packaged Foods,https://www.hormelfoods.com,20000,0.25,89.95,16.76,18.92,0.55,0.29,14.61,14.48,1.59,30.47,30.25,30.25,30.51,30.19,33.8,27.59,30.13,30.52,3848823,3096230,1.36,1.69,22.4,18.03,N/A,6.27%,8.61%,4.75%,9.37%,0.99,0.45,N/A,2.86,35.54,1.12,2.47,1.16,381.0,84.19%,1752451200,0.4%,-3.8%,N/A,1455062400,2:1
649,"Host Hotels & Resorts, Inc.",HST,NMS,USD,United States,Real Estate,REIT - Hotel & Motel,https://www.hosthotels.com,165,1.37,111.1,11.08,16.28,0.694,0.648,9.59,10.35,2.8,15.76,15.79,15.71,15.84,15.59,19.36,12.22,15.06,16.47,10024318,10921111,0.96,0.97,16.42,16.25,N/A,11.64%,17.77%,3.91%,10.0%,1.44,1.24,N/A,5.64,83.17,2.08,2.09,0.8,508.0,83.33%,1751241600,8.5%,-7.9%,N/A,1257292800,10215:10000
650,The Hershey Company,HSY,NYQ,USD,United States,Consumer Defensive,Confectioners,https://www.thehersheycompany.com,18540,0.36,121.33,33.83,38.61,0.148,0.145,23.12,13.89,3.59,166.99,167.12,167.0,168.86,166.48,208.03,140.13,164.74,171.49,2471460,1737017,8.13,8.4,20.54,19.88,N/A,15.32%,13.91%,10.96%,37.48%,2.36,1.25,N/A,6.29,134.28,0.79,1.59,5.48,328.0,67.4%,1747353600,-13.8%,-71.7%,N/A,1087344000,2:1
651,Hubbell Incorporated,HUBB,NYQ,USD,United States,Industrials,Electrical Equipment & Parts,https://www.hubbell.com,17700,0.38,95.25,21.7,23.36,0.053,0.053,61.11,17.89,4.18,406.62,410.92,405.26,414.31,403.9,481.35,299.43,379.94,403.18,562257,657523,14.8,17.72,27.47,22.95,N/A,14.29%,17.27%,10.07%,25.92%,0.94,0.64,N/A,2.01,61.44,0.65,1.17,5.28,130.0,34.35%,1748563200,-2.4%,15.4%,N/A,839808000,2:1
652,Huntsman Corporation,HUN,NYQ,USD,United States,Basic Materials,Chemicals,https://www.huntsman.com,6300,5.58,88.97,1.83,4.08,0.174,0.154,17.1,10.78,0.68,10.56,10.53,10.45,10.69,10.41,25.12,10.13,11.86,17.2,4325055,4084167,-0.78,0.84,N/A,12.57,N/A,-2.63%,0.64%,0.81%,-2.19%,0.25,0.15,N/A,2.36,74.27,0.73,1.48,1.0,947.0,180.0%,1749772800,-4.1%,N/A,N/A,N/A,N/A
653,Howmet Aerospace Inc.,HWM,NYQ,USD,United States,Industrials,Aerospace & Defense,https://www.howmet.com,23930,1.07,95.68,74.64,77.64,0.404,0.399,11.72,38.67,10.29,184.9,177.48,176.85,185.14,177.48,185.52,76.85,159.79,127.17,23737161,3281662,3.05,3.17,60.62,58.33,N/A,16.64%,24.92%,10.2%,28.29%,1.37,0.79,N/A,3.48,72.68,0.93,2.3,0.4,22.0,10.13%,1746748800,6.5%,42.4%,N/A,N/A,N/A
654,"Interactive Brokers Group, Inc.",IBKR,NMS,USD,United States,Financial Services,Capital Markets,https://www.interactivebrokers.com,3027,2.88,89.19,91.21,-36.05,0.436,0.409,10.33,N/A,-6.67,53.96,53.85,53.41,54.6,52.96,59.13,25.92,48.73,45.23,8574065,6716009,1.81,6.91,29.81,7.81,N/A,14.68%,73.56%,2.47%,22.25%,9.62,N/A,N/A,17.15,98.08,1.12,1.12,0.32,59.0,13.77%,1748563200,16.8%,20.5%,N/A,1750204800,4:1
655,International Flavors & Fragrances Inc.,IFF,NYQ,USD,United States,Basic Materials,Specialty Chemicals,https://www.iff.com,22400,0.09,96.99,19.02,28.35,0.256,0.255,51.53,16.08,2.48,74.35,74.23,73.92,74.65,73.93,106.77,65.85,76.05,85.65,1806712,1761340,-3.26,4.61,N/A,16.13,N/A,-7.31%,9.43%,1.68%,-6.03%,1.1,-1.26,N/A,9.91,75.01,0.54,1.87,1.6,215.0,168.42%,1750377600,-1.9%,N/A,N/A,759024000,3:1
656,Iron Mountain Incorporated,IRM,NYQ,USD,United States,Real Estate,REIT - Specialty,https://www.ironmountain.com,28850,0.8,84.37,30.18,47.78,0.295,0.292,-2.37,22.86,7.63,102.3,101.01,100.91,103.25,100.74,130.24,72.33,96.7,103.98,5587810,1780088,0.41,1.96,249.51,52.19,N/A,1.95%,20.12%,4.16%,N/A,1.26,-0.78,N/A,17.48,N/A,0.52,0.62,3.14,307.0,698.78%,1750032000,7.8%,-80.0%,N/A,1411689600,1082:1000
657,ITT Inc.,ITT,NYQ,USD,United States,Industrials,Specialty Industrial Machinery,https://www.itt.com,11700,0.66,97.2,12.43,12.83,0.079,0.073,34.31,16.55,3.53,157.95,158.17,157.56,158.94,156.72,161.13,105.64,146.46,144.65,675064,627862,6.29,6.52,25.11,24.23,N/A,14.18%,17.24%,8.58%,19.3%,0.62,0.41,N/A,0.83,29.83,0.75,1.19,1.4,89.0,20.83%,1748822400,0.3%,-1.5%,N/A,1320105600,10000:3316
658,Invesco Ltd.,IVZ,NYQ,USD,United States,Financial Services,Asset Management,https://www.invesco.com,8495,0.72,94.51,7.03,12.27,0.448,0.358,23.88,9.64,2.0,15.7,15.66,15.58,15.79,15.54,19.55,11.6,14.54,16.45,4751251,5735896,1.25,1.89,12.56,8.31,N/A,13.14%,18.13%,2.44%,5.09%,1.16,10.57,N/A,0.96,6.11,0.66,0.66,0.84,535.0,65.6%,1747180800,3.7%,21.9%,N/A,973641600,25:10
659,Jacobs Solutions Inc.,J,NYQ,USD,United States,Industrials,Engineering & Construction,https://www.jacobs.com,45000,1.13,89.52,15.63,18.19,0.12,0.119,32.1,13.88,1.56,130.04,130.01,129.56,130.49,129.07,149.05,105.18,124.85,129.43,766699,837216,3.03,6.65,42.92,19.55,N/A,3.94%,6.69%,5.06%,6.8%,0.69,1.29,N/A,3.12,66.36,1.45,1.5,1.28,98.0,39.27%,1747958400,2.2%,-95.7%,N/A,1747353600,101:100
660,"J.B. Hunt Transport Services, Inc.",JBHT,NMS,USD,United States,Industrials,Integrated Freight & Logistics,https://www.jbhunt.com,33646,19.52,76.36,14.42,16.29,0.099,0.078,38.98,10.36,1.35,145.34,143.9,143.28,145.86,143.84,200.4,122.79,138.31,161.54,791794,1277056,5.51,7.18,26.38,20.24,N/A,4.65%,6.12%,6.11%,13.97%,1.42,0.34,N/A,1.92,49.66,0.67,0.89,1.76,121.0,31.4%,1746748800,-0.8%,-4.1%,N/A,1116892800,2:1
661,Johnson Controls International plc,JCI,NYQ,USD,Ireland,Industrials,Building Products & Equipment,https://www.johnsoncontrols.com,94000,0.23,92.75,69.14,80.77,0.658,0.656,24.02,19.63,3.47,105.07,104.75,104.44,105.89,104.5,105.89,64.31,95.1,83.89,4891913,4750808,3.31,4.19,31.74,25.08,N/A,10.78%,11.31%,4.84%,13.14%,3.39,2.59,N/A,11.21,65.79,0.56,0.96,1.48,141.0,44.71%,1750636800,1.4%,N/A,N/A,1473120000,955:1000
662,"Jack Henry & Associates, Inc.",JKHY,NMS,USD,United States,Technology,Information Technology Services,https://www.jackhenry.com,7200,0.61,98.83,12.98,13.17,0.073,0.072,27.97,21.78,5.68,178.32,177.89,177.6,178.67,177.02,196.0,158.62,178.19,176.81,631923,643822,5.87,6.32,30.38,28.22,N/A,18.5%,23.71%,11.81%,22.49%,0.55,0.23,N/A,0.22,10.97,0.81,1.36,2.32,130.0,37.99%,1748476800,8.6%,27.7%,N/A,983750400,2:1
663,Jones Lang LaSalle Incorporated,JLL,NYQ,USD,United States,Real Estate,Real Estate Services,https://www.us.jll.com,112100,0.91,96.86,12.2,15.57,0.047,0.047,143.94,12.12,0.65,256.96,254.97,253.57,260.0,253.51,288.5,194.36,230.11,253.57,792054,433622,11.07,16.18,23.21,15.88,N/A,2.23%,2.43%,3.56%,8.06%,0.7,0.29,N/A,3.68,52.84,0.84,1.09,N/A,N/A,N/A,1573689600,12.1%,-16.8%,N/A,N/A,N/A
664,"Juniper Networks, Inc.",JNPR,NYQ,USD,United States,Technology,Communication Equipment,https://www.juniper.net,11271,1.37,87.07,12.31,12.72,0.334,0.33,14.45,21.04,2.44,36.82,36.85,36.9,37.2,36.75,39.79,33.42,35.97,36.91,4497563,2502977,1.05,1.98,35.07,18.6,N/A,6.78%,8.56%,2.91%,7.58%,0.78,0.73,N/A,1.96,40.66,0.99,1.49,0.88,239.0,83.81%,1748822400,11.4%,N/A,N/A,961113600,2:1
665,Kellanova,K,NYQ,USD,United States,Consumer Defensive,Packaged Foods,https://www.kellanova.com,24000,0.51,82.39,27.41,33.44,0.347,0.342,11.28,14.09,2.65,79.0,78.79,78.82,79.24,78.78,83.22,55.96,81.65,81.46,4562912,3771801,3.97,1.2,19.9,65.83,N/A,10.93%,14.82%,8.12%,38.15%,1.51,0.72,N/A,6.26,155.53,0.44,0.8,2.28,289.0,57.18%,1748822400,-3.7%,11.5%,N/A,1696204800,1065:1000
666,Keurig Dr Pepper Inc.,KDP,NMS,USD,United States,Consumer Defensive,Beverages - Non-Alcoholic,https://www.keurigdrpepper.com,29000,4.99,87.66,44.62,62.65,1.358,1.21,18.0,15.03,4.04,32.85,32.84,32.81,33.03,32.6,38.28,30.12,33.62,33.7,9139406,12759537,1.1,2.05,29.86,16.02,N/A,9.69%,22.12%,4.06%,6.13%,2.34,1.54,N/A,18.68,76.42,0.24,0.47,0.92,280.0,82.27%,1750982400,4.8%,15.6%,N/A,N/A,N/A
667,The Kraft Heinz Company,KHC,NMS,USD,United States,Consumer Defensive,Packaged Foods,https://www.kraftheinzcompany.com,36000,27.82,59.38,30.31,49.27,1.184,0.851,41.56,7.74,1.94,25.61,25.85,25.79,25.92,25.44,36.53,25.44,27.43,30.57,34050189,12096137,2.19,3.07,11.69,8.34,N/A,10.44%,20.55%,3.75%,5.35%,4.13,2.31,N/A,21.6,43.55,0.7,1.31,1.6,625.0,73.06%,1748563200,-6.4%,-10.6%,N/A,N/A,N/A
668,Kimco Realty Corporation,KIM,NYQ,USD,United States,Real Estate,REIT - Retail,https://www.kimcorealty.com,717,2.16,97.26,14.16,22.36,0.676,0.661,15.58,17.8,10.8,20.93,21.06,21.02,21.17,20.84,25.83,17.93,20.88,22.38,5193273,5194995,0.76,0.7,27.54,29.9,N/A,26.79%,33.57%,2.16%,5.21%,1.05,0.8,N/A,8.14,75.54,1.78,1.79,1.0,478.0,128.95%,1749168000,6.5%,N/A,N/A,1124841600,2:1
669,"Kinder Morgan, Inc.",KMI,NYQ,USD,United States,Energy,Oil & Gas Midstream,https://www.kindermorgan.com,10933,12.72,67.61,64.42,98.83,2.223,1.937,13.77,15.03,6.38,28.98,28.94,28.89,29.16,28.76,31.48,19.47,27.57,26.63,11475275,13928114,1.16,1.26,24.98,23.0,N/A,16.67%,27.0%,3.73%,8.45%,5.61,0.26,N/A,33.2,103.99,0.27,0.45,1.17,404.0,99.14%,1745971200,10.4%,-4.0%,N/A,N/A,N/A
670,"CarMax, Inc.",KMX,NYQ,USD,United States,Consumer Cyclical,Auto & Truck Dealerships,https://www.carmax.com,30000,0.38,110.15,9.99,29.22,0.15,0.149,41.75,25.07,1.02,66.6,67.17,66.67,67.72,66.15,91.25,61.34,65.83,75.48,5603929,3980085,3.62,3.77,18.4,17.67,N/A,1.95%,3.86%,1.97%,8.97%,1.04,0.06,N/A,19.49,309.96,0.2,2.39,N/A,N/A,N/A,N/A,6.2%,42.3%,N/A,1174953600,2:1
671,Knight-Swift Transportation Holdings Inc.,KNX,NYQ,USD,United States,Industrials,Trucking,https://knight-swift.com,35300,3.11,95.95,7.3,10.31,0.162,0.157,43.91,9.83,1.39,45.02,44.3,44.22,45.23,44.23,61.51,36.69,42.86,49.78,2512354,2881854,0.94,2.1,47.89,21.44,N/A,2.04%,2.82%,1.29%,2.1%,0.87,0.0,N/A,3.21,45.12,0.67,0.88,0.72,160.0,70.21%,1749427200,0.1%,N/A,N/A,1135641600,3:2
672,The Kroger Co.,KR,NYQ,USD,United States,Consumer Defensive,Grocery Stores,https://www.thekrogerco.com,409000,8.33,81.03,47.21,72.27,0.661,0.741,12.34,8.7,0.49,71.42,71.15,71.28,71.61,70.69,74.11,49.74,69.3,62.98,8981678,8631311,3.67,4.58,19.46,15.59,N/A,1.76%,1.99%,5.92%,24.24%,5.6,2.85,N/A,21.15,229.2,0.41,0.95,1.4,196.0,34.06%,1755216000,-0.6%,-88.2%,N/A,1436832000,2:1
673,Kilroy Realty Corporation,KRC,NYQ,USD,United States,Real Estate,REIT - Office,https://www.kilroyrealty.com,229,1.0,124.26,4.16,8.92,0.118,0.108,45.29,13.84,7.91,34.79,34.83,34.6,35.23,34.35,43.78,27.07,33.02,36.46,1230835,1387937,1.68,1.29,20.71,26.97,N/A,17.74%,27.27%,1.82%,3.94%,0.51,0.46,N/A,4.73,84.7,0.63,0.69,2.16,621.0,128.57%,1751241600,-2.8%,-21.6%,N/A,N/A,N/A
674,N/A,KSU,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
675,Kenvue Inc.,KVUE,NYQ,USD,United States,Consumer Defensive,Household & Personal Products,https://www.kenvue.com,22000,0.04,101.17,40.09,47.88,1.92,1.917,5.24,13.64,3.13,20.88,21.16,21.11,21.22,20.81,25.17,17.67,22.82,22.58,15442337,19128133,0.56,1.22,37.29,17.11,N/A,6.9%,16.71%,6.77%,10.22%,1.91,1.79,N/A,8.85,88.04,0.51,0.86,0.82,393.0,145.54%,1747180800,-3.9%,12.2%,N/A,N/A,N/A
676,Loews Corporation,L,NYQ,USD,United States,Financial Services,Insurance - Property & Casualty,https://www.loews.com,13000,18.63,59.43,18.96,23.03,0.21,0.171,81.73,8.35,1.3,90.4,89.89,90.04,90.75,89.46,92.42,73.15,88.03,84.69,1298744,800577,6.1,2.9,14.82,31.17,N/A,7.47%,13.8%,1.65%,8.0%,3.56,3.02,N/A,8.95,49.61,0.49,0.49,0.25,28.0,4.1%,1748390400,6.2%,-15.1%,N/A,1147132800,3:1
677,"Leidos Holdings, Inc.",LDOS,NYQ,USD,United States,Technology,Information Technology Services,https://www.leidos.com,47000,0.67,80.67,20.04,24.97,0.129,0.127,33.07,11.25,1.48,155.68,155.8,155.68,156.26,153.28,202.9,123.62,149.71,151.91,549962,1448585,9.92,10.45,15.69,14.9,N/A,7.87%,12.41%,9.27%,30.95%,1.34,0.92,N/A,5.74,133.33,1.27,1.54,1.6,103.0,15.73%,1750032000,6.8%,33.8%,N/A,1380499200,405:1000
678,"Leggett & Platt, Incorporated",LEG,NYQ,USD,United States,Consumer Cyclical,"Furnishings, Fixtures & Appliances",https://www.leggett.com,17700,2.38,79.56,1.25,2.95,0.135,0.132,5.53,8.12,0.68,9.25,9.17,9.13,9.29,9.04,14.24,6.48,8.91,10.27,23921018,2840712,-3.74,1.18,N/A,7.84,N/A,-11.89%,6.15%,3.44%,-50.31%,0.32,0.24,N/A,2.11,281.93,1.2,2.2,0.2,216.0,114.65%,1749772800,-6.8%,-4.3%,N/A,897955200,2:1
679,Lennar Corporation,LEN,NYQ,USD,United States,Consumer Cyclical,Residential Construction,https://www.lennar.com,13265,1.91,96.82,28.92,26.79,0.232,0.234,86.75,6.15,0.76,110.21,110.14,109.81,111.84,109.15,187.61,98.42,108.36,135.93,4253322,2999482,12.07,16.14,9.13,6.83,N/A,9.21%,7.91%,7.24%,13.26%,N/A,N/A,N/A,4.38,19.29,3.5,10.11,2.0,181.0,16.57%,1751500800,-4.4%,-47.5%,N/A,1737417600,1033:1000
680,Labcorp Holdings Inc.,LH,NYQ,USD,United States,Healthcare,Diagnostics & Research,https://www.labcorp.com,60900,0.36,96.46,21.81,28.04,0.084,0.083,99.13,16.33,2.13,260.59,257.84,256.98,262.32,255.51,264.03,198.96,246.83,237.06,1012129,818716,8.68,16.02,30.02,16.27,N/A,5.55%,9.94%,4.18%,8.98%,1.63,0.97,N/A,6.58,79.13,1.28,1.84,2.88,111.0,33.22%,1748476800,5.3%,-6.3%,N/A,1688342400,1164:1000
681,LKQ Corporation,LKQ,NMS,USD,United States,Consumer Cyclical,Auto Parts,https://www.lkqcorp.com,47000,0.45,105.18,9.58,15.22,0.258,0.256,23.9,8.83,1.08,37.12,37.17,37.07,37.56,36.93,46.64,35.56,39.59,39.31,2420897,2354824,2.69,3.62,13.8,10.25,N/A,4.97%,8.61%,5.36%,11.39%,0.86,0.51,N/A,5.85,94.46,0.47,1.52,1.2,323.0,44.61%,1747267200,-6.5%,10.2%,N/A,1348012800,2:1
682,Linde plc,LIN,NMS,USD,United Kingdom,Basic Materials,Specialty Chemicals,https://www.linde.com,65069,0.24,87.48,218.32,238.62,0.471,0.469,80.7,18.61,7.23,463.79,464.54,464.46,467.37,461.85,487.49,408.65,458.65,455.5,2586130,2116956,13.77,16.95,33.68,27.36,N/A,20.02%,28.29%,6.96%,17.01%,9.63,3.41,N/A,23.9,60.55,0.73,0.94,6.0,129.0,41.15%,1748995200,0.1%,4.8%,N/A,1071532800,2:1
683,Lincoln National Corporation,LNC,NYQ,USD,United States,Financial Services,Insurance - Life,https://www.lincolnfinancial.com,9783,11.28,77.15,5.9,-22.17,0.171,0.151,42.22,N/A,-1.2,34.57,34.8,34.52,34.91,34.27,39.85,27.58,32.91,33.57,3136026,2039469,7.07,7.72,4.89,4.48,N/A,7.18%,8.21%,0.27%,16.91%,-0.94,15.78,N/A,8.74,106.64,1.14,2.3,1.8,521.0,25.46%,1752105600,14.0%,N/A,N/A,930009600,2:1
